1,26.1341
2,24.8346
3,23.2488
4,21.8476
5,20.5514
6,19.5193
7,18.32
8,17.4813
9,16.7467
10,15.9554
11,15.2956
12,14.6957
13,14.1942
14,13.7901
15,13.339
16,12.9956
17,12.6976
18,12.3372
19,12.0761
20,11.7727
21,11.5343
22,11.2765
23,11.057
24,10.8356
25,10.663
26,10.4402
27,10.3642
28,10.1443
29,10.0477
30,9.82956
31,9.76474
32,9.5943
33,9.55816
34,9.35949
35,9.28253
36,9.12942
37,9.07898
38,8.91433
39,8.88883
40,8.70415
41,8.71553
42,8.53166
43,8.52822
44,8.35015
45,8.34769
46,8.17391
47,8.19403
48,8.07506
49,8.05974
50,7.92008
51,7.97302
52,7.8623
53,7.86614
54,7.76846
55,7.76856
56,7.64935
57,7.67287
58,7.6015
59,7.62167
60,7.53544
61,7.56438
62,7.48485
63,7.48092
64,7.38102
65,7.41106
66,7.31205
67,7.35134
68,7.24756
69,7.23474
70,7.18322
71,7.19776
72,7.09963
73,7.1373
74,7.06598
75,7.07777
76,6.99301
77,7.00023
78,6.95932
79,6.97763
80,6.90904
81,6.87873
82,6.82148
83,6.81651
84,6.77056
85,6.78672
86,6.71627
87,6.73157
88,6.71755
89,6.65547
90,6.67532
91,6.61943
92,6.61085
93,6.58302
94,6.56915
95,6.54563
96,6.53973
97,6.49852
98,6.48535
99,6.46967
100,6.47001
101,6.42095
102,6.4318
103,6.41927
104,6.39439
105,6.39262
106,6.36573
107,6.36126
108,6.32354
109,6.33412
110,6.29488
111,6.30087
112,6.30222
113,6.29799
114,6.29877
115,6.28557
116,6.26486
117,6.27799
118,6.24625
119,6.26573
120,6.20568
121,6.23596
122,6.17499
123,6.20759
124,6.14824
125,6.18877
126,6.12088
127,6.17059
128,6.12899
129,6.13409
130,6.09706
131,6.14137
132,6.08723
133,6.114
134,6.08422
135,6.10092
136,6.03929
137,6.10527
138,6.03369
139,6.08408
140,5.99994
141,6.03771
142,5.96481
143,6.02125
144,5.98251
145,6.01909
146,5.95997
147,5.98983
148,5.95585
149,6.00565
